FinalProcessedData,Assignment group,TextToSequence,WordLength
please activate iphone receive mail receive hello everybody please mail thank good regard rtnyumbg yzemkhbq tel cid regard rtnyumbg yzemkhbq techn consulting sale company deutschland gmbh maxplanckstrae company gmbh manage director rfwlsoej yvtjzkaw harald mnnlein mr pinkow communication intend solely use addressee may contain information worthy protection confidential exclude disclosure applicable law distribution distribution reproduction person recipient strictly prohibit receive message mistake notify sender delete message company post select follow link view disclaimer alternate language language,GRP_0,"[5, 401, 202, 2, 148, 2, 28, 1619, 5, 148, 293, 69, 195, 2026, 2027, 1087, 605, 195, 2026, 2027, 3058, 2000, 149, 17, 829, 379, 2028, 17, 379, 623, 503, 991, 992, 2029, 2030, 380, 3059, 544, 721, 830, 41, 831, 283, 655, 136, 832, 776, 777, 778, 779, 833, 722, 327, 327, 834, 367, 723, 780, 781, 2, 46, 656, 94, 657, 239, 46, 17, 724, 305, 115, 142, 165, 478, 479, 78, 78]",76
calculator eu tool bar hang spdczoth vajtodny,GRP_24,"[985, 190, 10, 993, 687, 2031, 2032]",7
computer information desk defective problem fan niptbwdq csenjruz computer,GRP_24,"[97, 136, 354, 542, 51, 1408, 654, 601, 97]",9
need usbstick gb st year piece hello,GRP_24,"[32, 3060, 310, 1088, 994, 1413, 28]",7
problem user temporary merdivan xwirzvda okhyipgr,GRP_24,"[51, 12, 2033, 1610, 906, 907]",6
login error lync qidgvtwa qvbutayx,GRP_24,"[21, 27, 1620, 1082, 1083]",5
bob j hello bobj not work system error bob go back not even failure good regard best,GRP_0,"[1414, 782, 28, 412, 3, 16, 38, 27, 1414, 144, 155, 3, 480, 690, 69, 195, 130]",17
genetic information,GRP_0,"[3061, 136]",2
exchange monitor dhoalycb yopvwrjq,GRP_24,"[270, 281, 2024, 2025]",4
install office ewel qidgvtwa qvbutayx,GRP_24,"[161, 122, 1399, 1082, 1083]",5
setup new ws batuhan gueduel,GRP_24,"[186, 62, 275, 3062, 3063]",5
setup new ws szockfpj izohlgcq,GRP_24,"[186, 62, 275, 3064, 3065]",5
setup new ws qdztknml hpcxnyrq,GRP_24,"[186, 62, 275, 3066, 3067]",5
recover account access dyqekzuc djhznybt urgently receive dyqekzuc sit next no longer open account many greeting best,GRP_0,"[1415, 15, 23, 2034, 3068, 606, 2, 2034, 1215, 294, 8, 378, 45, 15, 284, 688, 130]",17
problem display open email receive hello time email no longer display outlook cid always press blue highlight field able see email work connection exchange server since not case please set accordingly read email good regard,GRP_0,"[51, 325, 45, 34, 2, 28, 76, 34, 8, 378, 325, 22, 605, 783, 1216, 596, 1416, 545, 43, 77, 34, 16, 152, 270, 67, 63, 3, 725, 5, 205, 1417, 366, 34, 69, 195]",35
need accsess link receive hello accse report hostname departments pubreport fy vielen dank mit freundlichen gren good,GRP_0,"[32, 3069, 142, 2, 28, 3070, 85, 37, 1418, 3071, 784, 2035, 2036, 147, 295, 355, 69]",17
problem lan computer wu essa wrcktgbd wzrgyunp problem,GRP_24,"[51, 597, 97, 501, 2037, 773, 774, 51]",8
problem lan youfzmgp xvysrnmb,GRP_24,"[51, 597, 2038, 2039]",4
wifi receive hello everybody no longer see wifi connection home dial please help thank good regard,GRP_0,"[227, 2, 28, 1619, 8, 378, 77, 227, 152, 285, 1419, 5, 29, 293, 69, 195]",16
open outlook click email blue circle appear rotate nothing urgently ask help mobile tel no,GRP_0,"[45, 22, 172, 34, 596, 2040, 311, 3072, 481, 606, 214, 29, 145, 1087, 8]",15
problem eu tool error log order ypladjeu wzfryxav,GRP_24,"[51, 190, 10, 27, 50, 207, 1621, 1622]",8
problem eu tool tmqfjard qzhgdoua,GRP_24,"[51, 190, 10, 1078, 1079]",5
please create folder team drive receive would team drive name hrtr full access rtnzvplq erhmuncq rtgdcoun pngufmvq naruedlk mpvhakdq efodqiuh tpfnzkli rcwpvkyb exgjscql gabryltke pour many thank gabryltke pour human resource company share service gmbh manage director phvkowml azbtkqwx mpvhakdq communication intend solely use addressee may contain information worthy protection confidential exclude disclosure applicable law distribution distribution reproduction person recipient strictly prohibit receive message mistake notify sender delete message company post select follow link view disclaimer alternate language,GRP_12,"[5, 236, 138, 74, 126, 2, 56, 74, 126, 58, 3073, 286, 23, 2041, 2042, 3074, 3075, 506, 477, 3076, 3077, 3078, 3079, 2043, 2044, 284, 293, 2043, 2044, 2045, 624, 17, 265, 176, 379, 623, 503, 504, 505, 477, 544, 721, 830, 41, 831, 283, 655, 136, 832, 776, 777, 778, 779, 833, 722, 327, 327, 834, 367, 723, 780, 781, 2, 46, 656, 94, 657, 239, 46, 17, 724, 305, 115, 142, 165, 478, 479, 78]",78
computer erode machine defective youfzmgp xvysrnmb,GRP_24,"[97, 3080, 315, 542, 2038, 2039]",6
reset password xbsckemt durnfyxb hello please appricatehub com impact award security question name first school attend not answer correctly thank,GRP_0,"[6, 4, 3081, 3082, 28, 5, 3083, 170, 399, 567, 413, 287, 58, 365, 2046, 1623, 3, 1217, 439, 293]",20
mouse defect nipt wdq cse cruz jruz,GRP_24,"[835, 3084, 1614, 1615, 3085, 3086, 3087]",7
problem ws cad wsboedtj yvlswgxb,GRP_24,"[51, 275, 1624, 3088, 3089]",5
problem skype receive hello dear colleague not start skype always come error message cid dvzlettel good regard,GRP_0,"[51, 55, 2, 28, 127, 440, 3, 31, 55, 783, 245, 27, 46, 605, 1218, 69, 195]",17
synchronization exchange activesync temporarily block device access administra lhejbwkc xbmyvnqf send tuesday october pm nwfodmhc exurcwkm subject dan fw access grant administrator importance high dear please activate new iphone company device,GRP_0,"[836, 270, 482, 483, 184, 92, 23, 3090, 3091, 3092, 65, 520, 248, 70, 168, 166, 119, 1219, 387, 23, 1625, 400, 288, 231, 127, 5, 401, 62, 202, 17, 92]",31
defective momitor niptbwdq csenjruz,GRP_24,"[542, 3093, 654, 601]",4
replicate receive hello unfortunately laptop replicate rudimentary company network get late email iphone colleague site also problem cid good regard,GRP_0,"[1626, 2, 28, 995, 174, 1626, 3094, 17, 20, 33, 2047, 34, 202, 440, 59, 158, 51, 605, 69, 195]",20
passwordproblem receive hi try change password via manager lock totally would please kind unlock good regard agjzikpf nhfrbxek analyst logistic company share service gmbh manage director phvkowml azbtkqwx naruedlk mpvhakdq communication intend solely use addressee may contain information worthy protection confidential exclude disclosure applicable law distribution distribution reproduction person recipient strictly prohibit receive message mistake notify sender delete message company post select follow link view disclaimer alternate language,GRP_0,"[3095, 2, 52, 48, 47, 4, 296, 57, 30, 1627, 56, 5, 260, 64, 69, 195, 3096, 3097, 785, 1628, 17, 265, 176, 379, 623, 503, 504, 505, 506, 477, 544, 721, 830, 41, 831, 283, 655, 136, 832, 776, 777, 778, 779, 833, 722, 327, 327, 834, 367, 723, 780, 781, 2, 46, 656, 94, 657, 239, 46, 17, 724, 305, 115, 142, 165, 478, 479, 78]",68
not open vpn,GRP_0,"[3, 45, 40]",3
problem laser pfjwinbg ljtzbdqg,GRP_24,"[51, 1089, 904, 905]",4
problem lasplant pfjwinbg ljtzbdqg,GRP_24,"[51, 2007, 904, 905]",4
reset password account vvwtyeidt vvftgor vvnergtubj vvthygschj,GRP_0,"[6, 4, 15, 3098, 3099, 3100, 3101]",7
automatic registration call outlook computer want connect collaboration platform time mean log business school account enter email address password nothing happen constant fading annoying please remedy phone number,GRP_0,"[1090, 718, 60, 22, 97, 171, 42, 118, 116, 76, 3102, 50, 124, 2046, 15, 187, 34, 181, 4, 481, 291, 2048, 3103, 1629, 5, 1630, 107, 68]",28
install hard copy ewe w rhaycqjg arcgonvy hardcopy,GRP_24,"[161, 237, 456, 3104, 625, 1631, 1632, 1605]",8
problem printer queue currently not run fdyietau dvsyxwbu,GRP_24,"[51, 93, 1091, 328, 3, 185, 2049, 2050]",8
skype not load pc load browser even long wait,GRP_0,"[55, 3, 175, 121, 175, 402, 480, 568, 826]",9
password geoyhurg chriuimjiann receive please activate password plase unlook password chrithysgd good regard,GRP_0,"[4, 1633, 1634, 2, 5, 401, 4, 3105, 3106, 4, 3107, 69, 195]",13
uacyltoe hxgaycze,GRP_12,"[191, 198]",2
install drucker ewew hnyeajrw ctxjsolz,GRP_24,"[161, 691, 271, 1635, 1636]",5
install drucker ewew lxfnwyuv bqmjyprz,GRP_24,"[161, 691, 271, 1220, 1221]",5
install drucker oziflwma nhgvmqdl,GRP_24,"[161, 691, 2051, 2052]",4
need numeric keypad left hand hello need,GRP_24,"[32, 3108, 3109, 2053, 1420, 28, 32]",7
purchase online catalog detechnical trade not work,GRP_0,"[837, 272, 1421, 3110, 3111, 3, 16]",7
password geoyhurg chriuimjiann receive please activate account good regard,GRP_0,"[4, 1633, 1634, 2, 5, 401, 15, 69, 195]",9
password geoyhurg chriuimjiann receive please activate password good regard,GRP_0,"[4, 1633, 1634, 2, 5, 401, 4, 69, 195]",9
print problem salary statement eaodcgsw trmzwbyc,GRP_24,"[120, 51, 1092, 1093, 1637, 1638]",6
problem wlan laptop weszfyok fbadnjhu,GRP_24,"[51, 1222, 174, 2054, 2055]",5
rfa analyzer monitor defective hello visit us laboratory analysis device defective rclqfpgt tbnovxdp contact person,GRP_24,"[3112, 996, 281, 542, 28, 1422, 215, 3113, 319, 92, 542, 3114, 3115, 49, 367]",15
uacyltoe hxgaycze,GRP_0,"[191, 198]",2
no network access internal hard drive pc printing work e g printer server,GRP_12,"[8, 20, 23, 571, 237, 126, 121, 838, 16, 356, 329, 93, 67]",13
problem vpn weszfyok fbadnjhu,GRP_24,"[51, 40, 2054, 2055]",4
problem portal franjuz urbghty,GRP_24,"[51, 167, 3116, 3117]",4
login not possible receive hello fellow colleague please check colleague diehm ask question click no not log thank greeting cid hardcopycid,GRP_0,"[21, 3, 249, 2, 28, 2056, 440, 5, 61, 440, 3118, 214, 287, 172, 8, 3, 50, 293, 688, 605, 3119]",21
problem access drawing netweaver business clint receive dear colleague not open clint press correspond app already connect via vpn follow message appear cid ask support good regard,GRP_0,"[51, 23, 330, 266, 124, 2057, 2, 127, 440, 3, 45, 2057, 1216, 1094, 228, 441, 42, 296, 40, 115, 46, 311, 605, 214, 180, 69, 195]",27
eu tool ws ewew not work jionmpsf wnkpzcmv,GRP_24,"[190, 10, 275, 271, 3, 16, 564, 565]",8
bluescreen ewew wrcktgbd wzrgyunp hello pc show blue side lot white letter pc no type optiplex please help best,GRP_24,"[1208, 271, 773, 774, 28, 121, 131, 596, 572, 1223, 1076, 1598, 121, 8, 81, 1423, 5, 29, 130]",19
problem ie vzqomdgt jwoqbuml,GRP_24,"[51, 320, 621, 622]",4
sinic general error odbc vmsliazh ltksxmyv driver query timeout jionmpsf wnkpzcmv,GRP_24,"[2058, 570, 27, 1639, 3120, 3121, 178, 194, 3122, 564, 565]",11
problem printer fdyietau dvsyxwbu hello copier classroom also defective minolta please look,GRP_24,"[51, 93, 2049, 2050, 28, 2059, 3123, 158, 542, 3124, 5, 244]",12
app problem receive hello fellow colleague outlook field problem cid good regard,GRP_0,"[228, 51, 2, 28, 2056, 440, 22, 545, 51, 605, 69, 195]",12
problem print measure machine bar eaodcgsw trmzwbyc,GRP_24,"[51, 120, 903, 315, 993, 1637, 1638]",7
problem skype outlook dardabthyr,GRP_0,"[51, 55, 22, 1640]",4
please get gb usb stick one us break gb,GRP_24,"[5, 33, 310, 1424, 1095, 159, 215, 909, 310]",9
copier hp laserjet show error message transfer unit missing,GRP_24,"[2059, 546, 2060, 131, 27, 46, 607, 1209, 3125]",9
problem vpn wxstfouy isjzcotm,GRP_24,"[51, 40, 1425, 1426]",4
reinstall eu tool und hardcopy acqpinyd ecygimqd,GRP_24,"[475, 190, 10, 386, 1605, 1641, 1642]",7
problem companyguest bctypmjw cbhnxafz,GRP_24,"[51, 1096, 1643, 1644]",4
need help change password use skype microphones microphone since hear people meeting not,GRP_0,"[32, 29, 47, 4, 41, 55, 3126, 3127, 63, 522, 658, 240, 3]",13
setup new ws vuxdrbng owqplduj,GRP_24,"[186, 62, 275, 2061, 2062]",5
outlook not work computer evhw no longer work,GRP_0,"[22, 3, 16, 97, 1645, 8, 378, 16]",8
problem ie niptbwdq csenjruz,GRP_24,"[51, 320, 654, 601]",4
problem portal acqpinyd ecygimqd,GRP_24,"[51, 167, 1641, 1642]",4
problem portal hcuixqgj mavxgqbs,GRP_24,"[51, 167, 2063, 2064]",4
setup new ws zlnfpuam aktplhre,GRP_24,"[186, 62, 275, 2065, 2066]",5
printer em delivery area always note time correct one print erp problem,GRP_0,"[93, 1211, 608, 726, 783, 273, 76, 297, 159, 120, 7, 51]",12
password mrs koburvmc jwzlebap receive hello mrs riess start work tuesday october th please reassign password ms expect available office good regard,GRP_0,"[4, 1427, 3128, 3129, 2, 28, 1427, 3130, 31, 16, 520, 248, 604, 5, 1097, 4, 208, 659, 133, 122, 69, 195]",22
outlook indexing not able use search week message element currently index outlook appear also let pc run weekend open far always currently still index yesterday around element massive problem not find email year ago function,GRP_0,"[22, 1646, 3, 43, 41, 424, 267, 46, 2067, 328, 2068, 22, 311, 158, 173, 121, 185, 1224, 45, 1225, 783, 328, 221, 2068, 346, 839, 2067, 3131, 51, 3, 169, 34, 994, 840, 368]",35
skype certificate error,GRP_0,"[55, 425, 27]",3
computer ewew bluescreen wrcktgbd wzrgyunp,GRP_24,"[97, 271, 1208, 773, 774]",5
problem hp error lxv unzip mgjxwept lxvunpiz,GRP_24,"[51, 546, 27, 3132, 2069, 2070, 2071]",7
computer ewew slow lxvunpiz mgjxwept,GRP_24,"[97, 271, 201, 2071, 2070]",5
setup new ws sgnubadl gpkovbah,GRP_24,"[186, 62, 275, 1647, 1648]",5
reinstall eu tool ewew wrcktgbd wzrgyunp,GRP_24,"[475, 190, 10, 271, 773, 774]",6
archive email receive cid hello archive mail folder structure unfortunately keep find folder suddenly no content wrong greeting achim anivdcor rbmfhiox sale manager sale germany company deutschland gmbh manage director rfwlsoej yvtjzkaw phvkowml azbtkqwx naruedlk mpvhakdq communication intend solely use addressee may contain information worthy protection confidential exclude disclosure applicable law distribution distribution reproduction person recipient strictly prohibit receive message mistake please notify sender delete message company post select follow link view disclaimer alternate language,GRP_0,"[626, 34, 2, 605, 28, 626, 148, 138, 3133, 995, 250, 169, 138, 1226, 8, 692, 357, 688, 3134, 1649, 1650, 149, 57, 149, 203, 17, 829, 379, 623, 503, 991, 992, 504, 505, 506, 477, 544, 721, 830, 41, 831, 283, 655, 136, 832, 776, 777, 778, 779, 833, 722, 327, 327, 834, 367, 723, 780, 781, 2, 46, 656, 5, 94, 657, 239, 46, 17, 724, 305, 115, 142, 165, 478, 479, 78]",75
uacyltoe hxgaycze message hello dear colleague get email someone modify something email inbox dvzlettel good regard,GRP_0,"[191, 198, 46, 28, 127, 440, 33, 34, 426, 1098, 573, 34, 660, 1218, 69, 195]",16
reinstall company barcode fr ewew zlqfptjx xnklbfua,GRP_24,"[475, 17, 827, 278, 271, 1428, 1429]",7
no email receive address nothing send address,GRP_0,"[8, 34, 2, 181, 481, 65, 181]",7
support computer measure device jionmpsf wnkpzcmv,GRP_24,"[180, 97, 903, 92, 564, 565]",6
wu computer not work,GRP_24,"[501, 97, 3, 16]",4
computer viotto not work work,GRP_24,"[97, 3135, 3, 16, 16]",5
display order overview erp netweaver portal not possible no longer call parameter fine navigation see attach screenshot,GRP_0,"[325, 207, 997, 7, 266, 167, 3, 249, 8, 378, 60, 3136, 321, 3137, 77, 132, 255]",17
computer ewewx olympus no access hostname eu tool possible,GRP_24,"[97, 1099, 2072, 8, 23, 37, 190, 10, 249]",9
install eu tool bls calculator olympus xwirzvda okhyipgr,GRP_24,"[161, 190, 10, 3138, 985, 2072, 906, 907]",8
write read access folder staebefertigungline set hello please authorization user maerza staebefertigung leitung thank,GRP_24,"[411, 366, 23, 138, 3139, 205, 28, 5, 693, 12, 3140, 1651, 3141, 293]",14
setup new ws ewew jionmpsf wnkpzcmv,GRP_24,"[186, 62, 275, 271, 564, 565]",6
set printer cvd pc qs,GRP_24,"[205, 93, 3142, 121, 1652]",5
account helftgyldt block registration not possible error message address currently block not use log,GRP_0,"[15, 3143, 184, 718, 3, 249, 27, 46, 181, 328, 184, 3, 41, 50]",14
account jncvkrzm thjquiyl block registration not possible error message address currently block not use log,GRP_0,"[15, 3144, 3145, 184, 718, 3, 249, 27, 46, 181, 328, 184, 3, 41, 50]",15
erp account block password enter incorrectly time please activate account,GRP_0,"[7, 15, 184, 4, 187, 3146, 76, 5, 401, 15]",10
please create account ewew optiplex measure machine berirtch zedghkler,GRP_12,"[5, 236, 15, 271, 1423, 903, 315, 3147, 3148]",9
problem erpgui jionmpsf wnkpzcmv,GRP_24,"[51, 825, 564, 565]",4
account lock cellphone wlan authentication problem,GRP_24,"[15, 30, 2073, 1222, 1227, 51]",6
problem outlook kwehgxts agdsqbwv hello would like include phone number search appear,GRP_24,"[51, 22, 3149, 3150, 28, 56, 232, 574, 107, 68, 424, 311]",12
problem skype difozlav dgbfptos niptbwdq csenjruz,GRP_24,"[51, 55, 1653, 1654, 654, 601]",6
please create list authorization access cvltebaj yzmcfxah rostuhhwr,GRP_0,"[5, 236, 282, 693, 23, 3151, 3152, 3153]",8
due new hardware usa access exchange account synchronization activesync temporarily block device grant administrator,GRP_0,"[318, 62, 1228, 123, 23, 270, 15, 836, 482, 483, 184, 92, 1625, 400]",14
mouse defective hello howfanzi siavgtby need new decent mouse would nice could bring us short notice,GRP_24,"[835, 542, 28, 1229, 1230, 32, 62, 2074, 835, 56, 2075, 117, 786, 215, 908, 599]",16
mouse broken hello howfanzi siavgtby need new decent mouse would nice could bring us short notice,GRP_24,"[835, 2076, 28, 1229, 1230, 32, 62, 2074, 835, 56, 2075, 117, 786, 215, 908, 599]",16
problem symantec conference room rod nozahtbr ubznqpsy,GRP_24,"[51, 841, 787, 842, 3154, 3155, 3156]",7
printer defective qs error message fo,GRP_24,"[93, 542, 1652, 27, 46, 3157]",6
leantracker registration not work lean tracker open error message appear,GRP_0,"[3158, 718, 3, 16, 369, 484, 45, 27, 46, 311]",10
sfb personal certificate error,GRP_0,"[1655, 322, 425, 27]",4
delete account iphone create new one since access mail via entire block must delete recreate,GRP_24,"[239, 15, 202, 236, 62, 159, 63, 23, 148, 296, 2077, 184, 427, 239, 1656]",15
password reset access iphone probably block account password jxphgfmb gjbtuwek,GRP_24,"[4, 6, 23, 202, 1657, 184, 15, 4, 1430, 1431]",10
please restore file db stp date drive germany computation program dntym backup calculation need give production information,GRP_12,"[5, 485, 125, 1100, 3159, 442, 126, 203, 3160, 2010, 3161, 80, 3162, 32, 196, 139, 136]",17
access course skvalicona hello follow employee need history skvalicona employee rhaycqjg arcgonvy kudhnyuhnm nfybpxdg yjtdkfuo kesrgtyu lxfnwyuv bqmjyprz rockehsty hgrvubzo wgyhktic koiergyvh hnyeajrw ctxjsolz simekdty comparison employee h beckshtywsnh beckshtyw,GRP_24,"[23, 988, 910, 28, 115, 129, 32, 1658, 910, 129, 1631, 1632, 3163, 2078, 2079, 3164, 1220, 1221, 3165, 1659, 1660, 3166, 1635, 1636, 3167, 3168, 129, 843, 3169, 3170]",30
please release skvalicona hnyeajrw ctxjsolz,GRP_12,"[5, 476, 910, 1635, 1636]",5
need clearance skvalicona hgrvubzo wgyhktic,GRP_12,"[32, 1231, 910, 1659, 1660]",5
need clearance skvalicona lxfnwyuv bqmjyprz,GRP_12,"[32, 1231, 910, 1220, 1221]",5
please set clearance skvalicona nfybpxdg yjtdkfuo,GRP_12,"[5, 205, 1231, 910, 2078, 2079]",6
please set clearance skvalicona rhaycqjg arcgonvy,GRP_12,"[5, 205, 1231, 910, 1631, 1632]",6
please switch configure printer vaigycet jtgmpdcr,GRP_24,"[5, 403, 443, 93, 1661, 1662]",6
erp net weaver not work pc empw,GRP_0,"[7, 306, 694, 3, 16, 121, 2080]",7
password expire please initiate reset also iphone jxphgfmb gjbtuwek,GRP_24,"[4, 289, 5, 3171, 6, 158, 202, 1430, 1431]",9
erp not work properly user klarp pc evhw already evhw geuacyltoe hxgayczeet work fine,GRP_0,"[7, 3, 16, 627, 12, 3172, 121, 1645, 441, 1645, 3173, 3174, 16, 321]",14
no access time recording network spdczoth vajtodny,GRP_24,"[8, 23, 76, 2081, 20, 2031, 2032]",7
mouse no longer work properly please replace howfanzi siavgtby,GRP_24,"[835, 8, 378, 16, 627, 5, 902, 1229, 1230]",9
need new work mouse tkhaymqg cwuqzyvm,GRP_24,"[32, 62, 16, 835, 3175, 3176]",6
no registration skype possible vzqomdgt jwoqbuml,GRP_24,"[8, 718, 55, 249, 621, 622]",6
please set guest wifi cater one year,GRP_0,"[5, 205, 370, 227, 3177, 159, 994]",7
